Experiment;Name;Year;Crop;AbBiom;AbBiomNc;OrgBiom/Fruit;Grain_dm_nconc_%;OrgBiom/Shoot;Cop_dm_kg_ha;Cop_dm_nconc_%;Leaf_dm_kg_ha;Tuber_dm_kg_ha;Tuber_dm_nconc_%;Emergence;Stem_elongation;Anthesis;Maturity;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90;SWAT_0 - 30;SWAT_30 - 60;SWAT_60 - 90;NMIN_0 - 30;NMIN_30 - 60;NMIN_60 - 90
EX206;HUB_Thyrow_D1;2014;WR;;;5519.44;;6367.17;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX207;HUB_Thyrow_D1;2014;WW;;;6142.1;;5715.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX208;HUB_Thyrow_D1;2015;PO;;;;;;;;;2473.25;;;;;;;;;;;;;;;;;;;;;;;
EX209;HUB_Thyrow_D1;2015;WC;;;577.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX210;HUB_Thyrow_D1;2015;WR;;;1523.31;;1509.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX211;HUB_Thyrow_D1;2015;WW;;;1242.18;;1557.62;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX212;HUB_Thyrow_D1;2015;PO;;;;;;;;;6538.85;;;;;;;;;;;;;;;;;;;;;;;
EX213;HUB_Thyrow_D1;2015;WC;;;1405.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX214;HUB_Thyrow_D1;2015;WR;;;3495.96;;3590.39;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX215;HUB_Thyrow_D1;2015;WW;;;3064.54;;3113.43;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX216;HUB_Thyrow_D1;2015;PO;;;;;;;;;6101.35;;;;;;;;;;;;;;;;;;;;;;;
EX217;HUB_Thyrow_D1;2015;WC;;;1832.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX218;HUB_Thyrow_D1;2015;WR;;;5101.42;;5234.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX219;HUB_Thyrow_D1;2015;WW;;;3611.59;;4533.59;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX220;HUB_Thyrow_D1;2015;PO;;;;;;;;;5978.09;;;;;;;;;;;;;;;;;;;;;;;
EX221;HUB_Thyrow_D1;2015;WC;;;1766.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX222;HUB_Thyrow_D1;2015;WR;;;4624.27;;4872.63;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX223;HUB_Thyrow_D1;2015;WW;;;3348.01;;4091.73;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX224;HUB_Thyrow_D1;2015;PO;;;;;;;;;1773.57;;;;;;;;;;;;;;;;;;;;;;;
EX225;HUB_Thyrow_D1;2015;WC;;;720.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX226;HUB_Thyrow_D1;2015;WR;;;1633.88;;3067.49;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX227;HUB_Thyrow_D1;2015;WW;;;1811.6;;2420.32;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX228;HUB_Thyrow_D1;2015;PO;;;;;;;;;6958.34;;;;;;;;;;;;;;;;;;;;;;;
EX229;HUB_Thyrow_D1;2015;WC;;;2012.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX230;HUB_Thyrow_D1;2015;WR;;;4044.34;;4802.79;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX231;HUB_Thyrow_D1;2015;WW;;;4740.02;;5494.61;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX232;HUB_Thyrow_D1;2015;PO;;;;;;;;;8236.36;;;;;;;;;;;;;;;;;;;;;;;
EX233;HUB_Thyrow_D1;2015;WC;;;2875.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX234;HUB_Thyrow_D1;2015;WR;;;7102.88;;6838.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX235;HUB_Thyrow_D1;2015;WW;;;6381.6;;6870.1;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX236;HUB_Thyrow_D1;2015;PO;;;;;;;;;7941.17;;;;;;;;;;;;;;;;;;;;;;;
EX237;HUB_Thyrow_D1;2015;WC;;;2648.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX238;HUB_Thyrow_D1;2015;WR;;;6611.11;;6839.21;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX239;HUB_Thyrow_D1;2015;WW;;;6388.29;;6227.28;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX240;HUB_Thyrow_D1;2016;PO;;;;;;;;;2448.53;;;;;;;;;;;;;;;;;;;;;;;
EX241;HUB_Thyrow_D1;2016;WC;;;811.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX242;HUB_Thyrow_D1;2016;WR;;;1372.45;;1926.81;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX243;HUB_Thyrow_D1;2016;WW;;;1105.47;;1384.11;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX244;HUB_Thyrow_D1;2016;PO;;;;;;;;;5928.98;;;;;;;;;;;;;;;;;;;;;;;
EX245;HUB_Thyrow_D1;2016;WC;;;1539.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX246;HUB_Thyrow_D1;2016;WR;;;3545.42;;4133.42;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX247;HUB_Thyrow_D1;2016;WW;;;2722.13;;3401.13;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX248;HUB_Thyrow_D1;2016;PO;;;;;;;;;6324.45;;;;;;;;;;;;;;;;;;;;;;;
EX249;HUB_Thyrow_D1;2016;WC;;;1469.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX250;HUB_Thyrow_D1;2016;WR;;;5408.2;;5587.06;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX251;HUB_Thyrow_D1;2016;WW;;;3212.54;;3940.09;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX252;HUB_Thyrow_D1;2016;PO;;;;;;;;;4960;;;;;;;;;;;;;;;;;;;;;;;
EX253;HUB_Thyrow_D1;2016;WC;;;1320.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX254;HUB_Thyrow_D1;2016;WR;;;4998.46;;5222.43;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX255;HUB_Thyrow_D1;2016;WW;;;3461.1;;3963.88;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX256;HUB_Thyrow_D1;2016;PO;;;;;;;;;1392.65;;;;;;;;;;;;;;;;;;;;;;;
EX257;HUB_Thyrow_D1;2016;WC;;;1379.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX258;HUB_Thyrow_D1;2016;WR;;;1937.14;;3530.01;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX259;HUB_Thyrow_D1;2016;WW;;;1306.18;;2658.24;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX260;HUB_Thyrow_D1;2016;PO;;;;;;;;;8059.67;;;;;;;;;;;;;;;;;;;;;;;
EX261;HUB_Thyrow_D1;2016;WC;;;2148.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX262;HUB_Thyrow_D1;2016;WR;;;4398.47;;5761.31;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX263;HUB_Thyrow_D1;2016;WW;;;3063.67;;4351.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX264;HUB_Thyrow_D1;2016;PO;;;;;;;;;9779.79;;;;;;;;;;;;;;;;;;;;;;;
EX265;HUB_Thyrow_D1;2016;WC;;;2467.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX266;HUB_Thyrow_D1;2016;WR;;;6241.84;;6973.17;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX267;HUB_Thyrow_D1;2016;WW;;;4936.61;;5923.28;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX268;HUB_Thyrow_D1;2016;PO;;;;;;;;;7783.29;;;;;;;;;;;;;;;;;;;;;;;
EX269;HUB_Thyrow_D1;2016;WC;;;2572.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX270;HUB_Thyrow_D1;2016;WR;;;5819.6;;6360.14;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX271;HUB_Thyrow_D1;2016;WW;;;5033.19;;5882.08;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX272;HUB_Thyrow_D1;2017;PO;;;;;;;;;2842.94;;;;;;;;;;;;;;;;;;;;;;;
EX273;HUB_Thyrow_D1;2017;WR;;;1323.27;;1626.87;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX274;HUB_Thyrow_D1;2017;WW;;;1104.58;;1366.52;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX275;HUB_Thyrow_D1;2017;PO;;;;;;;;;8351.22;;;;;;;;;;;;;;;;;;;;;;;
EX276;HUB_Thyrow_D1;2017;WC;;;1203.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX277;HUB_Thyrow_D1;2017;WR;;;2940.91;;3819.75;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX278;HUB_Thyrow_D1;2017;WW;;;2642.64;;3058.09;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX279;HUB_Thyrow_D1;2017;PO;;;;;;;;;9407.04;;;;;;;;;;;;;;;;;;;;;;;
EX280;HUB_Thyrow_D1;2017;WC;;;1395.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX281;HUB_Thyrow_D1;2017;WR;;;3605.98;;5686.32;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX282;HUB_Thyrow_D1;2017;WW;;;3792.4;;4609.05;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX283;HUB_Thyrow_D1;2017;PO;;;;;;;;;8034.6;;;;;;;;;;;;;;;;;;;;;;;
EX284;HUB_Thyrow_D1;2017;WC;;;1287.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX285;HUB_Thyrow_D1;2017;WR;;;3222.74;;4840.45;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX286;HUB_Thyrow_D1;2017;WW;;;3390.92;;3853.06;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX287;HUB_Thyrow_D1;2017;WR;;;1631.42;;2130.36;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX288;HUB_Thyrow_D1;2017;WW;;;1336.16;;2490.88;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX289;HUB_Thyrow_D1;2017;WC;;;1424.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX290;HUB_Thyrow_D1;2017;WR;;;3544.74;;4527.49;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX291;HUB_Thyrow_D1;2017;WW;;;3843.2;;4378.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX292;HUB_Thyrow_D1;2017;WC;;;2035.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX293;HUB_Thyrow_D1;2017;WR;;;5236.16;;6761.36;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX294;HUB_Thyrow_D1;2017;WW;;;5596.79;;6192.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX295;HUB_Thyrow_D1;2017;WC;;;2104.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX296;HUB_Thyrow_D1;2017;WR;;;4645.63;;5940.56;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX297;HUB_Thyrow_D1;2017;WW;;;4851.32;;5374.35;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX298;HUB_Thyrow_D1;2018;PO;;;;;;;;;1823.14;;;;;;;;;;;;;;;;;;;;;;;
EX299;HUB_Thyrow_D1;2018;WR;;;1061.69;;1604.44;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX300;HUB_Thyrow_D1;2018;WW;;;1170.38;;1005.84;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX301;HUB_Thyrow_D1;2018;PO;;;;;;;;;3166.61;;;;;;;;;;;;;;;;;;;;;;;
EX302;HUB_Thyrow_D1;2018;WC;;;922.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX303;HUB_Thyrow_D1;2018;WR;;;2540.64;;4523.04;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX304;HUB_Thyrow_D1;2018;WW;;;2327.11;;2371.74;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX305;HUB_Thyrow_D1;2018;PO;;;;;;;;;2975.02;;;;;;;;;;;;;;;;;;;;;;;
EX306;HUB_Thyrow_D1;2018;WC;;;993.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX307;HUB_Thyrow_D1;2018;WR;;;2499.35;;4949.89;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX308;HUB_Thyrow_D1;2018;WW;;;1934.63;;2241.91;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX309;HUB_Thyrow_D1;2018;PO;;;;;;;;;2832.85;;;;;;;;;;;;;;;;;;;;;;;
EX310;HUB_Thyrow_D1;2018;WC;;;909.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX311;HUB_Thyrow_D1;2018;WR;;;2361.35;;4613.95;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX312;HUB_Thyrow_D1;2018;WW;;;2107.32;;2315.44;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX313;HUB_Thyrow_D1;2018;PO;;;;;;;;;1312.68;;;;;;;;;;;;;;;;;;;;;;;
EX314;HUB_Thyrow_D1;2018;WR;;;1321.74;;2437.17;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX315;HUB_Thyrow_D1;2018;WW;;;1657.92;;2616.92;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX316;HUB_Thyrow_D1;2018;PO;;;;;;;;;4859.16;;;;;;;;;;;;;;;;;;;;;;;
EX317;HUB_Thyrow_D1;2018;WC;;;1178.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX318;HUB_Thyrow_D1;2018;WR;;;3822.22;;5646.23;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX319;HUB_Thyrow_D1;2018;WW;;;3700.27;;3308.36;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX320;HUB_Thyrow_D1;2018;PO;;;;;;;;;5039.57;;;;;;;;;;;;;;;;;;;;;;;
EX321;HUB_Thyrow_D1;2018;WC;;;1824.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX322;HUB_Thyrow_D1;2018;WR;;;5122.52;;6485.31;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX323;HUB_Thyrow_D1;2018;WW;;;4389.47;;3769.43;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX324;HUB_Thyrow_D1;2018;PO;;;;;;;;;4619.27;;;;;;;;;;;;;;;;;;;;;;;
EX325;HUB_Thyrow_D1;2018;WC;;;1653.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX326;HUB_Thyrow_D1;2018;WR;;;4972.56;;6181.49;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX327;HUB_Thyrow_D1;2018;WW;;;4132.32;;3516.68;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX328;HUB_Thyrow_D1;2019;PO;;;;;;;;;3832.12;;;;;;;;;;;;;;;;;;;;;;;
EX329;HUB_Thyrow_D1;2019;WC;;;311.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX330;HUB_Thyrow_D1;2019;WR;;;1393.36;;2171.08;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX331;HUB_Thyrow_D1;2019;WW;;;1135.71;;1856.57;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX332;HUB_Thyrow_D1;2019;PO;;;;;;;;;5019.67;;;;;;;;;;;;;;;;;;;;;;;
EX333;HUB_Thyrow_D1;2019;WC;;;1012.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX334;HUB_Thyrow_D1;2019;WR;;;4100.59;;6098.19;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX335;HUB_Thyrow_D1;2019;WW;;;2771.23;;4043.64;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX336;HUB_Thyrow_D1;2019;PO;;;;;;;;;4539.91;;;;;;;;;;;;;;;;;;;;;;;
EX337;HUB_Thyrow_D1;2019;WC;;;1498.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX338;HUB_Thyrow_D1;2019;WR;;;3971.35;;6582.66;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX339;HUB_Thyrow_D1;2019;WW;;;3220.56;;4490.79;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX340;HUB_Thyrow_D1;2019;PO;;;;;;;;;4030.61;;;;;;;;;;;;;;;;;;;;;;;
EX341;HUB_Thyrow_D1;2019;WC;;;1140.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX342;HUB_Thyrow_D1;2019;WR;;;4247.32;;6285.16;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX343;HUB_Thyrow_D1;2019;WW;;;3355.02;;4588.65;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX344;HUB_Thyrow_D1;2019;PO;;;;;;;;;4090.74;;;;;;;;;;;;;;;;;;;;;;;
EX345;HUB_Thyrow_D1;2019;WC;;;245.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX346;HUB_Thyrow_D1;2019;WR;;;1854.91;;3357.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX347;HUB_Thyrow_D1;2019;WW;;;1478.02;;3094.46;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX348;HUB_Thyrow_D1;2019;PO;;;;;;;;;6591.52;;;;;;;;;;;;;;;;;;;;;;;
EX349;HUB_Thyrow_D1;2019;WC;;;1155.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX350;HUB_Thyrow_D1;2019;WR;;;4750.72;;7253.37;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX351;HUB_Thyrow_D1;2019;WW;;;4081.3;;5888.86;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX352;HUB_Thyrow_D1;2019;PO;;;;;;;;;8294.08;;;;;;;;;;;;;;;;;;;;;;;
EX353;HUB_Thyrow_D1;2019;WC;;;1766.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX354;HUB_Thyrow_D1;2019;WR;;;5646.81;;8436.37;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX355;HUB_Thyrow_D1;2019;WW;;;5444.07;;7286.22;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX356;HUB_Thyrow_D1;2019;PO;;;;;;;;;7603.11;;;;;;;;;;;;;;;;;;;;;;;
EX357;HUB_Thyrow_D1;2019;WC;;;1588.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX358;HUB_Thyrow_D1;2019;WR;;;5186.34;;8180.47;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX359;HUB_Thyrow_D1;2019;WW;;;5421.63;;7274.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX360;HUB_Thyrow_D1;2020;PO;;;;;;;;;2592.53;;;;;;;;;;;;;;;;;;;;;;;
EX361;HUB_Thyrow_D1;2020;WC;;;182.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX362;HUB_Thyrow_D1;2020;WR;;;1135.38;;1115.58;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX363;HUB_Thyrow_D1;2020;WW;;;879.22;;1134.74;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX364;HUB_Thyrow_D1;2020;PO;;;;;;;;;3771.67;;;;;;;;;;;;;;;;;;;;;;;
EX365;HUB_Thyrow_D1;2020;WC;;;750.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX366;HUB_Thyrow_D1;2020;WR;;;3843.66;;3590.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX367;HUB_Thyrow_D1;2020;WW;;;2316.72;;2503.35;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX368;HUB_Thyrow_D1;2020;PO;;;;;;;;;4252.17;;;;;;;;;;;;;;;;;;;;;;;
EX369;HUB_Thyrow_D1;2020;WC;;;528.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX370;HUB_Thyrow_D1;2020;WR;;;4858.23;;4825.02;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX371;HUB_Thyrow_D1;2020;WW;;;2364.47;;3745.79;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX372;HUB_Thyrow_D1;2020;PO;;;;;;;;;3744.41;;;;;;;;;;;;;;;;;;;;;;;
EX373;HUB_Thyrow_D1;2020;WC;;;561.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX374;HUB_Thyrow_D1;2020;WR;;;4233.21;;3853.38;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX375;HUB_Thyrow_D1;2020;WW;;;2246.4;;2759.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX376;HUB_Thyrow_D1;2020;PO;;;;;;;;;2433.33;;;;;;;;;;;;;;;;;;;;;;;
EX377;HUB_Thyrow_D1;2020;WC;;;263.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX378;HUB_Thyrow_D1;2020;WR;;;1586.08;;3863.03;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX379;HUB_Thyrow_D1;2020;WW;;;1458.06;;1676.59;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX380;HUB_Thyrow_D1;2020;PO;;;;;;;;;5903.09;;;;;;;;;;;;;;;;;;;;;;;
EX381;HUB_Thyrow_D1;2020;WC;;;1345.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX382;HUB_Thyrow_D1;2020;WR;;;4151.53;;5815.51;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX383;HUB_Thyrow_D1;2020;WW;;;3642.65;;4395.73;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX384;HUB_Thyrow_D1;2020;PO;;;;;;;;;7101.15;;;;;;;;;;;;;;;;;;;;;;;
EX385;HUB_Thyrow_D1;2020;WC;;;1229.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX386;HUB_Thyrow_D1;2020;WR;;;6014.33;;7836.06;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX387;HUB_Thyrow_D1;2020;WW;;;5117.63;;4891.85;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX388;HUB_Thyrow_D1;2020;PO;;;;;;;;;6761.37;;;;;;;;;;;;;;;;;;;;;;;
EX389;HUB_Thyrow_D1;2020;WC;;;1592.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX390;HUB_Thyrow_D1;2020;WR;;;5728.09;;6873.18;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX391;HUB_Thyrow_D1;2020;WW;;;4871.02;;5704.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX392;HUB_Thyrow_D1;2021;PO;;;;;;;;;3336.4;;;;;;;;;;;;;;;;;;;;;;;
EX393;HUB_Thyrow_D1;2021;WC;;;124.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX394;HUB_Thyrow_D1;2021;WR;;;1332.54;;6711.16;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX395;HUB_Thyrow_D1;2021;WW;;;898.28;;1045.93;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX396;HUB_Thyrow_D1;2021;PO;;;;;;;;;7548.88;;;;;;;;;;;;;;;;;;;;;;;
EX397;HUB_Thyrow_D1;2021;WC;;;421.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX398;HUB_Thyrow_D1;2021;WR;;;3096.26;;5770.18;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX399;HUB_Thyrow_D1;2021;WW;;;1672.55;;4382.89;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX400;HUB_Thyrow_D1;2021;PO;;;;;;;;;7557.87;;;;;;;;;;;;;;;;;;;;;;;
EX401;HUB_Thyrow_D1;2021;WC;;;420.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX402;HUB_Thyrow_D1;2021;WR;;;4453.49;;7704.02;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX403;HUB_Thyrow_D1;2021;WW;;;4479.31;;5998.41;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX404;HUB_Thyrow_D1;2021;PO;;;;;;;;;7080.74;;;;;;;;;;;;;;;;;;;;;;;
EX405;HUB_Thyrow_D1;2021;WC;;;223.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX406;HUB_Thyrow_D1;2021;WR;;;4236.29;;6919.65;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX407;HUB_Thyrow_D1;2021;WW;;;2516.55;;4921.39;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX408;HUB_Thyrow_D1;2021;PO;;;;;;;;;1536.2;;;;;;;;;;;;;;;;;;;;;;;
EX409;HUB_Thyrow_D1;2021;WC;;;356.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX410;HUB_Thyrow_D1;2021;WR;;;898.28;;1397.92;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX411;HUB_Thyrow_D1;2021;WW;;;1332.54;;4275.07;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX412;HUB_Thyrow_D1;2021;PO;;;;;;;;;7119.71;;;;;;;;;;;;;;;;;;;;;;;
EX413;HUB_Thyrow_D1;2021;WC;;;1067.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX414;HUB_Thyrow_D1;2021;WR;;;1895.3;;4163.72;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX415;HUB_Thyrow_D1;2021;WW;;;1849.96;;5003.68;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX416;HUB_Thyrow_D1;2021;PO;;;;;;;;;7117.22;;;;;;;;;;;;;;;;;;;;;;;
EX417;HUB_Thyrow_D1;2021;WC;;;1442.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX418;HUB_Thyrow_D1;2021;WR;;;1848.11;;6118.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX419;HUB_Thyrow_D1;2021;WW;;;4740.02;;5779.85;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX420;HUB_Thyrow_D1;2021;PO;;;;;;;;;6479.32;;;;;;;;;;;;;;;;;;;;;;;
EX421;HUB_Thyrow_D1;2021;WC;;;1412.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX422;HUB_Thyrow_D1;2021;WR;;;1969.23;;5816;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX423;HUB_Thyrow_D1;2021;WW;;;2964.63;;5701.62;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX424;HUB_Thyrow_D1;2022;PO;;;;;;;;;2275.42;;;;;;;;;;;;;;;;;;;;;;;
EX425;HUB_Thyrow_D1;2022;WR;;;1124.29;;1914.94;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX426;HUB_Thyrow_D1;2022;WW;;;783.44;;829.81;;;;;;;;;;;;;;;;;;;;;;;;;;;
EX427;HUB_Thyrow_D1;2022;PO;;;;;;;;;2153.31;;;;;;;;;;;;;;;;;;;;;;;
EX428;HUB_Thyrow_D1;2022;WC;;;196.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
